"State","Land Use & Land Use Change Categories","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Colorado","SF",1.03,1.03,1.03,1.03,1.03,1.03,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1,1,1,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
"Colorado","WF",0.77,0.77,0.77,0.77,0.77,0.77,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.81,0.81,0.81,0.81,0.81,0.81,0.81
"Colorado","Total Forest Land Converted to Land",26.13,26.13,26.13,26.13,26.13,26.13,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61,22.76,22.76,22.76,22.76,22.76,22.76,22.76,22.76,22.76,22.76,22.76,25.04,25.04,25.04,25.04,25.04,25.04,25.04
"Colorado","FC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colorado","FG",22.12,22.12,22.12,22.12,22.12,22.12,21.92,21.92,21.92,21.92,21.92,21.92,21.92,21.92,21.92,21.92,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,21.79,21.79,21.79,21.79,21.79,21.79,21.79
"Colorado","FO",1.19,1.19,1.19,1.19,1.19,1.19,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.49,0.49,0.49,0.49,0.49,0.49,0.49
"Colorado","FS",2.6,2.6,2.6,2.6,2.6,2.6,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.55,2.55,2.55,2.55,2.55,2.55,2.55
"Colorado","FW",0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.21,0.21,0.21,0.21,0.21,0.21,0.21
"Colorado","Total Woodlands Remaining Woodlands",1849.93,1844.55,1839.17,1833.78,1828.4,1823.02,1817.25,1810.56,1803.86,1797.17,1790.48,1783.79,1777.1,1770.4,1763.71,1757.02,1752.9,1745.37,1737.85,1730.32,1722.8,1715.27,1707.74,1700.22,1692.69,1685.17,1677.64,1749.89,1741.61,1733.34,1725.06,1716.78,1708.5,1700.22
"Connecticut","Total Forest Land",687.65,688.43,689.21,689.98,690.79,691.59,692.4,693.2,694.01,694.81,695.65,696.48,697.32,698.15,698.99,699.83,700.58,701.33,702.08,702.83,703.58,704.33,705.08,705.78,706.47,707.17,707.87,708.57,709.27,705.78,706.47,707.17,707.87,708.57
"Connecticut","FF",685.04,685.82,686.59,687.37,688.15,688.96,689.76,690.57,691.37,692.18,692.99,693.83,694.67,695.5,696.34,697.17,698.29,699.04,699.79,700.54,701.29,702.04,702.79,703.09,703.79,704.48,705.18,705.88,706.58,703.09,703.79,704.48,705.18,705.88
"Connecticut","Total Land Converted to Forest Land",2.61,2.61,2.61,2.61,2.63,2.63,2.63,2.63,2.63,2.63,2.65,2.65,2.65,2.65,2.65,2.65,2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69
"Connecticut","CF",0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.64,0.64,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
