"State","Gas","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"South Carolina","CH4",0,0,0,0,0.01,0,0,0,0,0,0,0.01,0.01,0.01,0.04,0.02,0.02,0.02,0.05,0.05,0.05,0.02,0.01,0.03,0.03,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01
"South Carolina","N2O",0,0,0,0,0.01,0,0,0,0,0,0,0.01,0.01,0.01,0.03,0.02,0.02,0.02,0.04,0.05,0.04,0.01,0.01,0.03,0.02,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.01
"South Dakota","CO2",0.2,0.12,0.03,0,0.01,0.01,0.02,0.02,0.01,0.05,0.38,0.25,0.73,0.33,0.01,0.08,0.14,0.38,0,0.03,0.04,0.14,0.51,0,0.1,0.13,0.14,0.05,0.01,0.01,0.01,0.02,0.08
"South Dakota","CH4",0.01,0.01,0,0,0,0,0,0,0,0,0.02,0.01,0.04,0.02,0,0,0.01,0.02,0,0,0,0.01,0.03,0,0,0.01,0.01,0,0,0,0,0,0
"South Dakota","N2O",0.01,0.01,0,0,0,0,0,0,0,0,0.02,0.01,0.03,0.01,0,0,0.01,0.02,0,0,0,0.01,0.02,0,0,0.01,0.01,0,0,0,0,0,0
"Tennessee","CO2",,0.07,,,0.06,,0.02,0.02,0.06,0.14,1.57,1.28,0.05,0.26,0.12,0.45,0.22,0.53,0.18,0.26,0.39,0.06,0.12,0.22,0.26,0.17,1.25,0.06,0.12,0.07,0.1,0.17,0.11
"Tennessee","CH4",,0,,,0,,0,0,0,0.01,0.08,0.06,0,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0.02,0,0.01,0.01,0.01,0.01,0.06,0,0.01,0,0.01,0.01,0.01
"Tennessee","N2O",,0,,,0,,0,0,0,0.01,0.07,0.06,0,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0,0.01,0.01,0.01,0.01,0.05,0,0.01,0,0,0.01,0
"Texas","CO2",0.01,0.03,0,0.01,0.04,0.04,0.26,0,0.03,0.03,0.23,0.05,0.08,0.15,0.15,0.22,0.41,0.1,0.31,0.45,0.65,3.08,0.09,0.44,0.53,0.25,0.53,0.9,0.54,0.39,0.15,0.43,0.63
"Texas","CH4",0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0.01,0.01,0.01,0.02,0,0.01,0.02,0.04,0.16,0,0.02,0.03,0.01,0.03,0.05,0.03,0.02,0.01,0.03,0.03
"Texas","N2O",0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0.01,0.01,0.01,0.02,0,0.01,0.02,0.03,0.14,0,0.02,0.02,0.01,0.02,0.04,0.02,0.02,0.01,0.02,0.03
